epoch,train_loss,F1 Score,Sensitivity,Specifity,Accuracy,AUC-ROC,Mean-IOU
1,0.044922,0.707071,0.673142,0.986452,0.969088,0.973375,0.546875
2,0.040341,0.739271,0.732559,0.985373,0.971361,0.978904,0.586384
3,0.039288,0.758295,0.738121,0.987756,0.97392,0.981081,0.610688
4,0.038589,0.772621,0.771828,0.986732,0.974822,0.984164,0.629489
5,0.038097,0.766045,0.813363,0.9818,0.972465,0.984937,0.620804
6,0.037736,0.775604,0.784151,0.986042,0.974852,0.983438,0.633459
7,0.037336,0.777235,0.786395,0.986084,0.975016,0.985474,0.635638
8,0.037011,0.772354,0.786176,0.985354,0.974314,0.983598,0.629134
9,0.036673,0.785971,0.779351,0.988042,0.976475,0.986137,0.647407
10,0.036429,0.774544,0.778361,0.986417,0.974886,0.983174,0.632046
11,0.036196,0.788608,0.822668,0.984527,0.975556,0.986072,0.650993
12,0.035903,0.785224,0.806612,0.985456,0.975544,0.986301,0.646394
13,0.035678,0.790141,0.809537,0.985944,0.976167,0.985862,0.653086
14,0.035504,0.783358,0.799711,0.985798,0.975484,0.985066,0.643868
15,0.03522,0.783695,0.81148,0.984778,0.975173,0.985938,0.644325
16,0.035073,0.791241,0.82567,0.984665,0.975853,0.987707,0.654589
17,0.034865,0.79028,0.798329,0.986972,0.976516,0.986813,0.653275
18,0.034653,0.784177,0.807544,0.985211,0.975364,0.986376,0.644976
19,0.034421,0.794586,0.804529,0.987062,0.976945,0.98736,0.659181
20,0.034217,0.782168,0.821082,0.983663,0.974653,0.985789,0.642262
21,0.034072,0.79406,0.805874,0.986864,0.976832,0.985332,0.658457
22,0.033901,0.791243,0.815621,0.985566,0.976147,0.985419,0.654592
